Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date UTC /Day,Average Temperature(Celcius) /Day,Minimum Temperature(Celcius) /Day,Maximum Temperature(Celcius) /Day,Daily Precipitation(mm) /Day,Maximum Snowfall(mm) /Day,Wind Direction(Degrees) /Day,Wind Speed(km/h) /Day,Peak Wind Gust(km/h) /Day,Atmospheric Pressure(hPa) /Day,Sunshine Duration(m) /Day
UA,2/18/2019,607,N825UA,ORD,21:20,21:21,105,107,1,21:15,6,0,0,0,0,0,2019-02-18,-3.8,-7.7,-0.5,1.5,100.0,339.0,12.2,,1026.4,
UA,2/18/2020,1643,N17752,ORD,21:19,20:55,109,98,-24,20:51,4,0,0,0,0,0,2020-02-18,2.7,-3.8,3.9,0.0,0.0,279.0,22.0,,1019.4,
UA,2/18/2022,1094,N419UA,ORD,20:59,20:54,109,102,-5,20:48,6,0,0,0,0,0,2022-02-18,-8.3,-13.8,-0.5,0.0,50.0,242.0,23.8,,1018.2,
UA,2/18/2022,1200,N838UA,DEN,15:09,14:52,199,183,-17,14:46,6,0,0,0,0,0,2022-02-18,-0.8,-7.1,7.8,0.0,80.0,204.0,13.7,,1022.0,
UA,2/18/2022,1874,N36469,IAD,23:29,23:42,69,67,13,23:36,6,0,0,0,0,0,2022-02-18,12.3,-4.3,19.4,1.0,0.0,290.0,26.3,,1011.2,
UA,2/19/2019,607,N809UA,ORD,21:20,20:55,105,93,-25,20:49,6,0,0,0,0,0,2019-02-19,-5.7,-11.0,1.7,0.0,80.0,87.0,7.6,,1034.6,
UA,2/19/2020,1643,N24715,ORD,21:19,20:59,109,94,-20,20:55,4,0,0,0,0,0,2020-02-19,-4.1,-8.8,-0.5,0.0,0.0,322.0,14.0,,1035.5,
UA,2/19/2022,1094,N424UA,ORD,20:59,21:11,109,95,12,21:05,6,0,0,0,0,0,2022-02-19,-7.1,-12.7,-3.8,0.0,50.0,266.0,22.7,,1026.6,
UA,2/19/2022,1200,N460UA,DEN,15:09,15:16,199,194,7,15:11,5,0,0,0,0,0,2022-02-19,3.4,-3.2,15.0,0.0,30.0,215.0,15.8,,1016.1,
UA,2/19/2022,1874,N64809,IAD,23:29,23:37,69,73,8,23:31,6,0,0,0,0,0,2022-02-19,0.2,-6.6,8.9,0.0,0.0,292.0,23.8,,1020.5,
UA,2/20/2019,607,N826UA,ORD,21:20,22:32,105,81,72,22:28,4,0,0,2,0,70,2019-02-20,-0.5,-2.1,3.3,2.3,50.0,145.0,22.3,,1012.8,
UA,2/20/2020,1643,N39728,ORD,21:19,21:18,109,108,-1,21:14,4,0,0,0,0,0,2020-02-20,-7.3,-12.7,-3.8,0.0,0.0,319.0,14.4,,1039.4,
UA,2/20/2022,1094,N818UA,ORD,20:59,21:47,109,106,48,21:43,4,0,0,0,0,48,2022-02-20,-1.4,-8.2,8.3,0.0,30.0,208.0,27.7,,1014.0,
UA,2/20/2022,1200,N822UA,DEN,15:09,14:47,199,180,-22,14:41,6,0,0,0,0,0,2022-02-20,8.3,0.6,17.2,0.0,0.0,203.0,16.9,,1005.2,
UA,2/20/2022,1874,N69830,IAD,23:29,23:22,69,65,-7,23:17,5,0,0,0,0,0,2022-02-20,-1.9,-9.9,6.7,0.0,0.0,178.0,11.5,,1030.2,
UA,2/21/2019,607,N803UA,ORD,21:20,21:17,105,108,-3,21:13,4,0,0,0,0,0,2019-02-21,-0.6,-4.3,1.7,0.0,30.0,258.0,17.3,,1021.5,
