Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date UTC /Day,Average Temperature(Celcius) /Day,Minimum Temperature(Celcius) /Day,Maximum Temperature(Celcius) /Day,Daily Precipitation(mm) /Day,Maximum Snowfall(mm) /Day,Wind Direction(Degrees) /Day,Wind Speed(km/h) /Day,Peak Wind Gust(km/h) /Day,Atmospheric Pressure(hPa) /Day,Sunshine Duration(m) /Day
UA,12/20/2022,1998,N808UA,ORD,21:07,21:16,113,119,9,21:06,10,0,0,0,0,0,2022-12-20,-2.5,-7.7,0.6,0.0,0.0,264.0,10.4,,1031.5,
UA,12/20/2022,2488,N78524,EWR,23:14,23:42,75,65,28,23:38,4,20,0,0,0,8,2022-12-20,2.0,-1.0,5.6,0.0,0.0,322.0,16.6,,1029.1,
UA,12/21/2021,2416,N847UA,IAD,23:10,23:17,70,65,7,23:10,7,0,0,0,0,0,2021-12-21,0.0,-5.5,5.6,0.0,0.0,41.0,4.0,,1017.7,
UA,12/21/2022,604,N848UA,DEN,14:58,15:16,193,207,18,15:12,4,0,0,18,0,0,2022-12-21,1.9,-23.2,10.6,6.6,0.0,297.0,19.1,,1013.6,
UA,12/21/2022,1998,N471UA,ORD,21:07,20:40,113,90,-27,20:34,6,0,0,0,0,0,2022-12-21,-6.7,-11.6,0.0,0.0,0.0,19.0,8.6,,1028.0,
UA,12/21/2022,2488,N27266,EWR,23:14,23:29,75,63,15,23:24,5,3,0,0,0,12,2022-12-21,0.7,-4.3,6.1,0.0,0.0,357.0,6.5,,1032.1,
UA,12/22/2021,2416,N897UA,IAD,23:10,23:45,70,87,35,23:34,11,18,0,17,0,0,2021-12-22,4.2,-2.1,9.4,0.0,0.0,324.0,18.4,,1009.0,
UA,12/22/2022,604,N814UA,DEN,14:58,16:12,193,196,74,16:07,5,69,0,3,0,2,2022-12-22,-23.7,-31.0,-21.0,1.8,100.0,130.0,13.0,,1034.4,
UA,12/22/2022,1998,N816UA,ORD,21:07,21:37,113,104,30,21:32,5,0,30,0,0,0,2022-12-22,-2.2,-21.0,0.6,2.3,0.0,262.0,18.4,,1011.9,
UA,12/22/2022,2488,N479UA,EWR,23:14,0:19,75,84,65,0:14,5,56,0,9,0,0,2022-12-22,2.8,-1.6,11.1,7.1,0.0,31.0,15.5,,1024.1,
UA,12/23/2021,2416,N823UA,IAD,23:10,23:19,70,65,9,23:13,6,0,0,0,0,0,2021-12-23,0.7,-6.6,6.1,0.0,0.0,327.0,7.9,,1022.5,
UA,12/23/2022,604,N854UA,DEN,14:58,15:12,193,201,14,15:06,6,0,0,0,0,0,2022-12-23,-21.0,-25.5,-11.6,0.0,80.0,251.0,10.8,,1035.5,
