Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
UA,3/30/2020,2039,,ORD,20:48,0:00,108,0,0,0:00,0,0,0,0,0,0
UA,3/30/2022,1041,N407UA,DEN,15:06,14:58,198,194,-8,14:44,14,0,0,0,0,0
UA,3/30/2022,1185,N893UA,ORD,21:59,21:53,113,105,-6,21:48,5,0,0,0,0,0
UA,3/30/2022,2027,N809UA,IAD,23:37,23:23,70,68,-14,23:18,5,0,0,0,0,0
UA,3/31/2019,607,N38727,ORD,20:55,20:34,110,97,-21,20:29,5,0,0,0,0,0
UA,3/31/2020,1453,,ORD,20:48,0:00,108,0,0,0:00,0,0,0,0,0,0
UA,3/31/2021,1224,N39423,ORD,21:36,21:14,116,95,-22,21:09,5,0,0,0,0,0
UA,3/31/2022,1041,N493UA,DEN,15:06,14:55,198,195,-11,14:49,6,0,0,0,0,0
UA,3/31/2022,1185,N854UA,ORD,21:59,22:35,113,95,36,22:31,4,13,0,0,0,23
UA,3/31/2022,2027,N845UA,IAD,23:37,1:03,70,59,86,0:58,5,0,0,0,0,86
UA,4/1/2019,607,N17752,ORD,21:02,21:00,110,110,-2,20:55,5,0,0,0,0,0
UA,4/1/2020,1453,,ORD,20:48,0:00,108,0,0,0:00,0,0,0,0,0,0
UA,4/1/2021,1224,N69835,ORD,21:36,23:11,116,0,0,23:04,7,0,0,0,0,0
UA,4/1/2022,1041,N448UA,DEN,15:06,15:09,198,201,3,15:05,4,0,0,0,0,0
UA,4/1/2022,1185,N467UA,ORD,21:59,22:46,113,101,47,22:41,5,0,0,0,0,47
UA,4/1/2022,2027,N844UA,IAD,23:37,1:02,70,70,85,0:56,6,50,0,0,0,35
UA,4/2/2019,607,N459UA,ORD,21:02,20:42,110,98,-20,20:38,4,0,0,0,0,0
UA,4/2/2020,1453,,ORD,20:48,0:00,108,0,0,0:00,0,0,0,0,0,0
UA,4/2/2021,1224,N897UA,ORD,21:46,21:29,116,101,-17,21:25,4,0,0,0,0,0
UA,4/2/2022,1041,N897UA,DEN,15:11,14:54,202,192,-17,14:49,5,0,0,0,0,0
UA,4/2/2022,2027,N830UA,IAD,23:37,23:29,70,63,-8,23:24,5,0,0,0,0,0
UA,4/3/2019,607,N15751,ORD,21:02,20:52,110,105,-10,20:47,5,0,0,0,0,0
UA,4/3/2020,1453,,ORD,20:48,0:00,108,0,0,0:00,0,0,0,0,0,0
UA,4/3/2021,1224,N427UA,ORD,18:33,18:13,113,100,-20,18:08,5,0,0,0,0,0
UA,4/3/2022,1041,N436UA,DEN,15:11,15:16,202,190,5,15:09,7,0,0,0,0,0
UA,4/3/2022,1185,N844UA,ORD,22:04,22:47,113,98,43,22:42,5,43,0,0,0,0
UA,4/3/2022,2027,N479UA,IAD,23:37,23:38,70,71,1,23:30,8,0,0,0,0,0
UA,4/4/2019,607,N39728,ORD,21:02,21:03,110,114,1,20:59,4,0,0,0,0,0
UA,4/4/2020,1453,,ORD,20:48,0:00,108,0,0,0:00,0,0,0,0,0,0
